objID,redshift,g_minus_r,stellar_mass_ratio,r_mag,label
1237667735567990816,0.05002426,0.3403263,7447711251.321686,19.87171219887342,2
1237651800162238663,0.05002861,0.7310467,18775104295.187763,19.80406032069201,2
1237658203418001512,0.05002872,0.3534451,3338575408.0012546,18.964579788343798,2
1237661949196369931,0.05003024,0.708005,46255876522.79549,20.846213575014605,2
1237664338791497938,0.05003155,0.8085709,12508892938.282543,19.150541495438013,2
1237668290154987628,0.05003383,0.520834,5623060808.804057,19.07154470518612,2
1237660753020256431,0.05003415,0.453414,46840210381.0933,21.558059197556254,2
1237651754543022334,0.05003875,0.4578819,17314234922.76028,20.465267153773915,2
1237656239009300799,0.05003897,0.2279282,2716030105.281811,19.084743360209398,2
1237661967965290558,0.05004012,0.4733715,3964446726.476404,18.82223512688825,2
1237662264319606974,0.05004072,0.6403961,9679301184.374908,19.33332370505271,2
1237661358081310847,0.05004217,0.8418159,48724387173.46085,20.535685858061854,2
1237668271904391441,0.0500431,0.8314686,47028419106.73545,20.525598314195257,2
1237668335788556708,0.05004434,0.8470058,22435701376.631275,19.67943572058854,2
1237662619725725879,0.05004656,0.7999191,18793855045.59957,19.61626155044768,2
1237667324328870089,0.05004693,0.7139282,10781262551.23417,19.248725967366855,2
1237667211053039872,0.05004737,0.6239414,18508902949.47496,20.08229240607096,2
1237657610727588083,0.05005351,0.9263096,67484462541.3196,20.657605405584583,2
1237654949986107580,0.0500555,0.3181934,5548475545.679028,19.61278879117038,2
1237650761850683420,0.0500571,0.7028961,33199137654.37217,20.500124453442954,2
1237668332571852943,0.05005996,0.8640156,28662100740.223183,19.89870726226949,2
1237671940871422079,0.05006704,0.5783234,9035493129.523493,19.42882772551399,2
1237669696762216581,0.05007134,0.3120975,347085863.55627537,16.620164920430497,2
1237662661594251433,0.05007152,0.2116165,3463911258.565437,19.393558642152954,2
1237678617940328664,0.05007615,0.7307625,13957872058.33986,19.482931876616323,2
1237652948531871760,0.05007849,0.3406258,6275997234.958354,19.685040602440136,2
1237667735567925447,0.05008181,0.8261776,87739796096.67303,21.2171994839733,2
1237648702994121855,0.05008202,0.355011,4714139217.404672,19.33488834227807,2
1237652599032119512,0.05008624,0.3325577,4952872880.469065,19.45010346175657,2
1237667733989163112,0.05009155,0.9279585,160302218189.67508,21.592422643666403,2
1237679997156000060,0.05009247,0.8291664,45001646023.08756,20.4840821460867,2
1237663785278701666,0.0500936,0.7132721,9923758621.571308,19.160541746398323,2
1237657632727892150,0.05009367,0.8529873,46505471606.26695,20.454442461900268,2
1237660585519611977,0.05009543,0.8019485,29392147961.62291,20.096234551821404,2
1237662237491331564,0.05010024,0.8410606,28935170751.12586,19.97195642837289,2
1237654602091725172,0.05010675,0.9372892,89697747446.64952,20.93643821117618,2
1237665566622286415,0.05010753,0.7610073,37582983085.9811,20.47541560106412,2
1237657770709942421,0.05012065,0.5923157,13359755613.679358,19.815070477207865,2
1237662267537817911,0.05012135,0.8266735,32828307745.404835,20.148469166291836,2
1237667736137302303,0.05012228,0.7949867,11717250480.36572,19.11681326015155,2
1237660559746465902,2.263469e-05,-0.3937321,14603.752514198346,7.615971445425473,2
1237680328410988640,2.557513e-05,1.492884,843.5023529190013,-0.6540186240614334,2
1237663458852864788,0.05000263,0.1507683,1230828168.9288027,18.43701150480398,3
1237665226776641789,0.05000649,0.6008816,9321956003.021116,19.400849834137674,3
1237667783898366102,0.05001478,0.417532,5634675910.741819,19.35709084453821,3
1237667109039767569,0.05001587,0.8149281,47011521671.69874,20.570570457462743,3
1237664289390067906,0.05002005,0.8489656,103748982125.44212,21.33667145342485,3
1237648703517819272,0.05002216,0.3446045,3938605694.209857,19.168278419861153,3
1237667111727923262,0.05002318,0.35326,3744520595.9238296,19.08967500917936,3
1237673704503509021,0.05002467,-0.05175781,4593902749.254299,20.422400286794506,3
1237668297680355637,0.0500251,0.65448,9660400092.73153,19.292576383550987,3
1237663458315600593,0.0500287,0.3500023,2205320993.2044063,18.523798221466436,3
1237673704503509022,0.05002906,0.03645706,5063016801.2767935,20.28603993436481,3
1237660613438734448,0.05002957,1.084861,141625621322.9783,21.027623277901036,3
